# chrom	start	end	chrom	start	end	Adipocytes	Endothelium	Heart-Cardio	Oligodend	Neuron	Liver-Hep	Pancreas-Duct	Pancreas-Acinar	Pancreas-Delta	Pancreas-Beta	Pancreas-Alpha	Kidney-Ep	Thyroid-Ep	Fallopian-Ep	Ovary+Endom-Ep	Eryth-prog	Blood-T	Blood-NK	Blood-Mono+Macro	Blood-Granul	Blood-B	Head-Neck-Ep	Lung-Ep-Bron	Prostate-Ep	Bladder-Ep	Breast-Luminal-Ep	Breast-Basal-Ep	Lung-Ep-Alveo	Gastric-Ep	Colon-Ep	Small-Int-Ep	Adipocytes	Endothelium	Heart-Cardio	Oligodend	Neuron	Liver-Hep	Pancreas-Duct	Pancreas-Acinar	Pancreas-Delta	Pancreas-Beta	Pancreas-Alpha	Kidney-Ep	Thyroid-Ep	Fallopian-Ep	Ovary+Endom-Ep	Eryth-prog	Blood-T	Blood-NK	Blood-Mono+Macro	Blood-Granul	Blood-B	Head-Neck-Ep	Lung-Ep-Bron	Prostate-Ep	Bladder-Ep	Breast-Luminal-Ep	Breast-Basal-Ep	Lung-Ep-Alveo	Gastric-Ep	Colon-Ep	Small-Int-Ep
chr1	1595934	1596277	chr1	1595934	1596276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	1.0	2.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	12.0	3.0	11.0	2.0	4.0	11.0	2.0	1.0	2.0	3.0	2.0	4.0	5.0	7.0	0.0
chr1	1700328	1700815	chr1	1700328	1700814	0.0	0.0031914893617021275	0.0	0.0	0.0	0.90625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04132231404958678	0.0	0.0	0.008012820512820512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	940.0	130.0	138.0	469.0	256.0	79.0	91.0	110.0	119.0	114.0	320.0	113.0	115.0	175.0	121.0	870.0	101.0	624.0	113.0	194.0	693.0	161.0	188.0	131.0	101.0	106.0	181.0	635.0	344.0	127.0
chr1	1717283	1717823	chr1	1717283	1717822	0.0	0.0	0.0	0.0	0.00816326530612245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9863013698630136	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	67.0	494.0	80.0	83.0	245.0	100.0	29.0	45.0	53.0	43.0	48.0	134.0	73.0	54.0	86.0	62.0	452.0	56.0	323.0	67.0	105.0	331.0	75.0	107.0	76.0	45.0	71.0	79.0	314.0	151.0	67.0
chr1	1951708	1951898	chr1	1951708	1951897	0.041666666666666664	0.048327137546468404	0.07894736842105263	0.2631578947368421	0.7590361445783133	0.047619047619047616	0.02857142857142857	0.06451612903225806	0.0	0.0	0.06666666666666667	0.024390243902439025	0.11764705882352941	0.037037037037037035	0.06896551724137931	0.4	0.020833333333333332	0.0	0.011904761904761904	0.0	0.022727272727272728	0.08333333333333333	0.125	0.05660377358490566	0.0625	0.07407407407407407	0.14285714285714285	0.018867924528301886	0.014925373134328358	0.11428571428571428	0.22857142857142856	48.0	269.0	38.0	38.0	166.0	63.0	35.0	31.0	33.0	28.0	30.0	82.0	34.0	27.0	29.0	25.0	240.0	15.0	168.0	27.0	44.0	168.0	40.0	53.0	32.0	27.0	35.0	53.0	134.0	105.0	35.0
chr1	1983573	1983759	chr1	1983573	1983758	0.10588235294117647	0.05327868852459016	0.009615384615384616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007692307692307693	0.0	0.0	0.0	0.12280701754385964	0.0	0.0	0.006472491909385114	0.0	0.0	0.0189873417721519	0.07692307692307693	0.0	0.0	0.0	0.0	0.8363636363636363	0.0	0.0053475935828877	0.03076923076923077	85.0	488.0	104.0	72.0	260.0	119.0	31.0	66.0	46.0	46.0	46.0	130.0	44.0	44.0	80.0	57.0	417.0	45.0	309.0	70.0	80.0	316.0	91.0	85.0	62.0	49.0	67.0	110.0	305.0	187.0	65.0
chr1	2007323	2007948	chr1	2007323	2007947	0.02158273381294964	0.008820286659316428	0.0	0.06299212598425197	0.7108433734939759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22772277227722773	0.005076142131979695	0.0	0.0	0.0	0.005952380952380952	0.0015337423312883436	0.0	0.0	0.0	0.01020408163265306	0.009708737864077669	0.0	0.0	0.0	0.0	139.0	907.0	161.0	127.0	498.0	185.0	77.0	68.0	116.0	86.0	102.0	286.0	111.0	86.0	191.0	101.0	788.0	103.0	604.0	101.0	168.0	652.0	161.0	197.0	125.0	98.0	103.0	185.0	576.0	345.0	104.0
chr1	2191267	2191434	chr1	2191267	2191433	0.07692307692307693	0.019855595667870037	0.1590909090909091	0.3048780487804878	0.8616352201257862	0.008771929824561403	0.0	0.025	0.3584905660377358	0.4406779661016949	0.45714285714285713	0.04	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0030211480362537764	0.0	0.0	0.0028328611898017	0.0	0.009900990099009901	0.0	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	78.0	554.0	88.0	82.0	318.0	114.0	41.0	40.0	53.0	59.0	70.0	150.0	63.0	51.0	88.0	77.0	501.0	50.0	331.0	81.0	104.0	353.0	90.0	101.0	57.0	62.0	82.0	107.0	320.0	167.0	68.0
chr1	2240840	2241062	chr1	2240840	2241061	0.0	0.0	0.0	0.0	0.7096774193548387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.037037037037037035	0.125	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	9.0	45.0	4.0	4.0	31.0	9.0	6.0	3.0	7.0	2.0	9.0	10.0	10.0	3.0	7.0	3.0	30.0	5.0	27.0	8.0	16.0	30.0	5.0	5.0	8.0	3.0	4.0	5.0	29.0	25.0	6.0
chr1	2315598	2316184	chr1	2315598	2316183	0.006329113924050633	0.01366742596810934	0.007194244604316547	0.016260162601626018	0.7845601436265709	0.01098901098901099	0.0	0.024096385542168676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08943089430894309	0.00398406374501992	0.0	0.0018115942028985507	0.0	0.011976047904191617	0.004709576138147566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031847133757961785	0.0	158.0	878.0	139.0	123.0	557.0	182.0	56.0	83.0	85.0	83.0	102.0	305.0	94.0	103.0	161.0	123.0	753.0	108.0	552.0	119.0	167.0	637.0	188.0	189.0	106.0	87.0	136.0	182.0	529.0	314.0	122.0
chr1	2949670	2949807	chr1	2949670	2949806	0.0	0.012244897959183673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.20833333333333334	0.7244897959183674	0.1702127659574468	0.05405405405405406	0.0	0.019417475728155338	0.02717391304347826	0.04878048780487805	0.0	0.0	0.0	0.0	0.0	0.0	0.018633540372670808	0.0	83.0	490.0	79.0	75.0	249.0	95.0	42.0	38.0	45.0	46.0	71.0	163.0	65.0	45.0	78.0	48.0	490.0	47.0	333.0	55.0	103.0	368.0	82.0	105.0	55.0	47.0	64.0	111.0	284.0	161.0	41.0
chr1	2954307	2954394	chr1	2954307	2954393	0.0	0.008565310492505354	0.0	0.0	0.02830188679245283	0.07563025210084033	0.8518518518518519	0.05263157894736842	0.031746031746031744	0.14035087719298245	0.10714285714285714	0.0	0.0	0.022222222222222223	0.028169014084507043	0.27692307692307694	0.011235955056179775	0.0	0.0034602076124567475	0.0	0.0	0.006896551724137931	0.0	0.0	0.0	0.07317073170731707	0.013888888888888888	0.03225806451612903	0.0	0.016483516483516484	0.0	77.0	467.0	67.0	75.0	318.0	119.0	54.0	38.0	63.0	57.0	56.0	146.0	67.0	45.0	71.0	65.0	445.0	51.0	289.0	63.0	106.0	290.0	78.0	93.0	73.0	41.0	72.0	93.0	263.0	182.0	58.0
chr1	3182540	3182737	chr1	3182540	3182736	0.0641025641025641	0.06832298136645963	0.0	0.0	0.01893939393939394	0.020833333333333332	0.0	0.06666666666666667	0.1	0.9545454545454546	0.27450980392156865	0.019230769230769232	0.0	0.20930232558139536	0.38372093023255816	0.09615384615384616	0.0	0.0	0.0031746031746031746	0.0	0.0	0.05063291139240506	0.0	0.05102040816326531	0.14516129032258066	0.037037037037037035	0.09375	0.0	0.003424657534246575	0.006289308176100629	0.0	78.0	483.0	88.0	67.0	264.0	96.0	21.0	30.0	40.0	66.0	51.0	156.0	49.0	43.0	86.0	52.0	419.0	48.0	315.0	68.0	83.0	316.0	77.0	98.0	62.0	54.0	64.0	105.0	292.0	159.0	65.0
chr1	3182821	3182986	chr1	3182821	3182985	0.006756756756756757	0.006157635467980296	0.0	0.0	0.08172043010752689	0.0	0.0	0.037037037037037035	0.0	0.3617021276595745	0.011363636363636364	0.02158273381294964	0.0	0.3904761904761905	0.7248677248677249	0.0847457627118644	0.0012642225031605564	0.0	0.0	0.0	0.0	0.005357142857142857	0.0	0.0106951871657754	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.0	148.0	812.0	130.0	141.0	465.0	175.0	64.0	54.0	68.0	94.0	88.0	278.0	107.0	105.0	189.0	118.0	791.0	78.0	559.0	95.0	141.0	560.0	120.0	187.0	103.0	99.0	99.0	177.0	485.0	302.0	110.0
chr1	3196488	3196578	chr1	3196488	3196577	0.275	0.07657657657657657	0.0	0.0	0.0	0.08771929824561403	1.0	0.0	0.0	0.04	0.0	0.09259259259259259	0.0	0.0	0.2222222222222222	0.23529411764705882	0.0213903743315508	0.0	0.012345679012345678	0.0	0.0	0.13245033112582782	0.03225806451612903	0.0	0.04	0.22727272727272727	0.0	0.0	0.008130081300813009	0.01098901098901099	0.0	40.0	222.0	35.0	51.0	117.0	57.0	18.0	18.0	19.0	25.0	22.0	54.0	34.0	14.0	36.0	17.0	187.0	24.0	162.0	36.0	38.0	151.0	31.0	26.0	25.0	22.0	25.0	48.0	123.0	91.0	27.0
chr1	3210410	3210462	chr1	3210410	3210461	0.015151515151515152	0.10215053763440861	0.0	0.029850746268656716	0.012987012987012988	0.0547945205479452	0.0	0.0	0.0	0.01818181818181818	0.05555555555555555	0.136	0.0	0.0	0.0625	0.28888888888888886	0.026627218934911243	0.023809523809523808	0.003676470588235294	0.04081632653061224	0.014925373134328358	0.15867158671586715	0.05970149253731343	0.26436781609195403	0.07692307692307693	0.1702127659574468	0.05084745762711865	0.0	0.0	0.0136986301369863	0.9272727272727272	66.0	372.0	51.0	67.0	231.0	73.0	29.0	20.0	34.0	55.0	36.0	125.0	46.0	51.0	48.0	45.0	338.0	42.0	272.0	49.0	67.0	271.0	67.0	87.0	39.0	47.0	59.0	73.0	235.0	146.0	55.0
chr1	3278150	3278636	chr1	3278150	3278635	0.007462686567164179	0.013498312710911136	0.007575757575757576	0.0189873417721519	0.044715447154471545	0.04838709677419355	0.0	0.0	0.0	0.011627906976744186	0.02	0.010067114093959731	0.0	0.0	0.013245033112582781	0.1792452830188679	0.08860759493670886	0.42528735632183906	0.0148975791433892	0.008928571428571428	0.01775147928994083	0.012367491166077738	0.0	0.005988023952095809	0.0	0.07317073170731707	0.007936507936507936	0.0	0.0017421602787456446	0.0	0.0	134.0	889.0	132.0	158.0	492.0	186.0	74.0	77.0	92.0	86.0	100.0	298.0	101.0	92.0	151.0	106.0	790.0	87.0	537.0	112.0	169.0	566.0	134.0	167.0	116.0	82.0	126.0	154.0	574.0	288.0	90.0
chr1	3496958	3497162	chr1	3496958	3497161	0.0625	0.03418803418803419	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.07142857142857142	0.0	0.07142857142857142	0.008695652173913044	0.0	0.08	0.0	0.9130434782608695	0.03225806451612903	0.0	0.0	0.0	0.0	0.24	0.0	0.02702702702702703	0.05128205128205128	0.0	16.0	117.0	16.0	22.0	70.0	26.0	14.0	6.0	16.0	10.0	5.0	41.0	13.0	14.0	24.0	14.0	115.0	11.0	75.0	19.0	23.0	93.0	14.0	23.0	18.0	9.0	25.0	21.0	74.0	39.0	15.0
chr1	3519189	3519563	chr1	3519189	3519562	0.03759398496240601	0.0012406947890818859	0.0	0.0	0.0	0.011904761904761904	0.0	0.045454545454545456	0.0	0.0	0.024691358024691357	0.0	0.0	0.0	0.0	0.11538461538461539	0.019310344827586208	0.0	0.15285451197053407	0.8444444444444444	0.013793103448275862	0.011945392491467578	0.0	0.0	0.0	0.03896103896103896	0.0	0.1693121693121693	0.003883495145631068	0.012539184952978056	0.01098901098901099	133.0	806.0	132.0	143.0	493.0	168.0	89.0	66.0	98.0	94.0	81.0	276.0	101.0	94.0	114.0	104.0	725.0	70.0	543.0	135.0	145.0	586.0	157.0	178.0	120.0	77.0	87.0	189.0	515.0	319.0	91.0
chr1	3563695	3563874	chr1	3563695	3563873	0.013513513513513514	0.00228310502283105	0.013888888888888888	0.0	0.0	0.010416666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09803921568627451	0.006787330316742082	0.04081632653061224	0.023411371237458192	0.9295774647887324	0.0	0.005780346820809248	0.0	0.0	0.0	0.0	0.0	0.01098901098901099	0.0	0.0	0.0	74.0	438.0	72.0	80.0	254.0	96.0	34.0	48.0	40.0	40.0	41.0	136.0	68.0	53.0	66.0	51.0	442.0	49.0	299.0	71.0	74.0	346.0	90.0	86.0	53.0	52.0	60.0	91.0	301.0	166.0	60.0
chr1	3695941	3696334	chr1	3695941	3696333	0.0	0.0008183306055646482	0.009708737864077669	0.018433179723502304	0.6809895833333334	0.0	0.0	0.0	0.0	0.0	0.007751937984496124	0.0	0.0	0.0	0.0	0.02097902097902098	0.0	0.0	0.001256281407035176	0.0	0.0	0.0011507479861910242	0.0	0.0	0.0	0.0	0.011904761904761904	0.0	0.0	0.0	0.0	198.0	1222.0	206.0	217.0	768.0	288.0	109.0	106.0	114.0	141.0	129.0	397.0	152.0	134.0	200.0	143.0	1081.0	116.0	796.0	138.0	223.0	869.0	200.0	254.0	162.0	125.0	168.0	282.0	756.0	475.0	155.0
chr1	3751215	3751634	chr1	3751215	3751633	0.0	0.0	0.009615384615384616	0.7317073170731707	0.024539877300613498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04081632653061224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	696.0	104.0	123.0	326.0	137.0	65.0	63.0	54.0	64.0	94.0	222.0	81.0	79.0	122.0	98.0	651.0	66.0	492.0	117.0	134.0	513.0	154.0	170.0	74.0	61.0	88.0	146.0	438.0	251.0	95.0
chr1	3759630	3760019	chr1	3759630	3760018	0.11320754716981132	0.01812688821752266	0.0	0.0	0.00980392156862745	0.04819277108433735	0.0	0.0	0.0	0.0	0.0	0.009009009009009009	0.0	0.0	0.0	0.08108108108108109	0.003076923076923077	0.04081632653061224	0.6838235294117647	0.18867924528301888	0.2191780821917808	0.0	0.0	0.0	0.017857142857142856	0.0	0.0	0.0	0.0	0.0	0.0	53.0	331.0	53.0	52.0	204.0	83.0	24.0	18.0	44.0	37.0	47.0	111.0	34.0	53.0	55.0	37.0	325.0	49.0	272.0	53.0	73.0	237.0	76.0	76.0	56.0	35.0	46.0	80.0	241.0	134.0	37.0
chr1	4285114	4285206	chr1	4285114	4285205	0.022222222222222223	0.020958083832335328	0.0	0.0	0.011049723756906077	0.027777777777777776	0.0	0.047619047619047616	0.24	0.9148936170212766	0.5957446808510638	0.2288135593220339	0.0	0.0	0.03389830508474576	0.20512820512820512	0.006369426751592357	0.0	0.008438818565400843	0.0	0.0	0.00904977375565611	0.0	0.031746031746031744	0.0	0.020833333333333332	0.0	0.03488372093023256	0.0	0.043478260869565216	0.02564102564102564	45.0	334.0	51.0	59.0	181.0	72.0	21.0	21.0	25.0	47.0	47.0	118.0	41.0	41.0	59.0	39.0	314.0	29.0	237.0	34.0	80.0	221.0	60.0	63.0	47.0	48.0	54.0	86.0	179.0	115.0	39.0
chr1	4914428	4914661	chr1	4914428	4914660	0.0	0.047619047619047616	0.0	0.0	0.041666666666666664	0.0	0.0	0.16666666666666666	0.25	0.8333333333333334	1.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	42.0	11.0	2.0	24.0	11.0	8.0	6.0	4.0	6.0	3.0	12.0	3.0	4.0	12.0	1.0	33.0	5.0	22.0	3.0	8.0	35.0	6.0	4.0	5.0	5.0	5.0	6.0	21.0	16.0	4.0
chr1	5036177	5036242	chr1	5036177	5036241	0.012658227848101266	0.014457831325301205	0.013888888888888888	0.0	0.0	0.019801980198019802	0.04	0.0	0.043478260869565216	0.075	0.09090909090909091	0.0	0.0	0.0	0.0	0.2	0.004739336492890996	0.023255813953488372	0.006896551724137931	0.0	0.0	0.058365758754863814	0.0	0.04054054054054054	0.28205128205128205	0.6938775510204082	0.2608695652173913	0.0125	0.0391304347826087	0.0	0.0	79.0	415.0	72.0	69.0	199.0	101.0	50.0	31.0	46.0	40.0	44.0	127.0	54.0	54.0	62.0	55.0	422.0	43.0	290.0	57.0	101.0	257.0	77.0	74.0	78.0	49.0	46.0	80.0	230.0	154.0	36.0
chr1	5874823	5875031	chr1	5874823	5875030	0.03333333333333333	0.014705882352941176	0.0	0.0	0.0136986301369863	0.015873015873015872	0.0	0.0	0.0	0.058823529411764705	0.0	0.32075471698113206	0.32432432432432434	0.09375	0.6923076923076923	0.21621621621621623	0.0	0.0	0.0	0.0	0.06818181818181818	0.011363636363636364	0.018518518518518517	0.02127659574468085	0.03125	0.22580645161290322	0.10204081632653061	0.0	0.014084507042253521	0.010526315789473684	0.0	30.0	272.0	33.0	47.0	146.0	63.0	19.0	28.0	25.0	34.0	36.0	106.0	37.0	32.0	65.0	37.0	243.0	27.0	160.0	36.0	44.0	176.0	54.0	47.0	32.0	31.0	49.0	54.0	142.0	95.0	37.0
chr1	5894874	5894945	chr1	5894874	5894944	0.08333333333333333	0.013793103448275862	0.021739130434782608	0.0	0.017045454545454544	0.04285714285714286	0.0	0.043478260869565216	0.037037037037037035	0.0	0.0	0.009615384615384616	0.9166666666666666	0.0	0.0	0.12121212121212122	0.0	0.0	0.0	0.0	0.0	0.013392857142857142	0.01282051282051282	0.016666666666666666	0.018867924528301886	0.043478260869565216	0.021739130434782608	0.0410958904109589	0.018518518518518517	0.015625	0.0	48.0	290.0	46.0	54.0	176.0	70.0	29.0	23.0	27.0	31.0	34.0	104.0	48.0	25.0	47.0	33.0	287.0	33.0	205.0	36.0	55.0	224.0	78.0	60.0	53.0	23.0	46.0	73.0	162.0	128.0	33.0
chr1	5902818	5902963	chr1	5902818	5902962	0.0	0.022935779816513763	0.0	0.0	0.0	0.01020408163265306	0.025	0.0	0.038461538461538464	0.0	0.0	0.8924050632911392	0.0	0.09433962264150944	0.0	0.08928571428571429	0.005221932114882507	0.0	0.0149812734082397	0.0	0.0136986301369863	0.016611295681063124	0.058823529411764705	0.03333333333333333	0.0	0.038461538461538464	0.0	0.02	0.0038910505836575876	0.0125	0.0	61.0	436.0	59.0	64.0	251.0	98.0	40.0	36.0	52.0	48.0	46.0	158.0	46.0	53.0	68.0	56.0	383.0	38.0	267.0	47.0	73.0	301.0	68.0	90.0	51.0	52.0	52.0	100.0	257.0	160.0	49.0
chr1	5982740	5982922	chr1	5982740	5982921	0.07692307692307693	0.016355140186915886	0.0	0.017241379310344827	0.018433179723502304	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.002421307506053269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	428.0	69.0	58.0	217.0	83.0	48.0	56.0	34.0	36.0	46.0	141.0	51.0	49.0	71.0	48.0	413.0	41.0	285.0	63.0	72.0	302.0	78.0	77.0	47.0	46.0	47.0	74.0	247.0	145.0	55.0
