# chrom	start	end	chrom	start	end	Adipocytes	Endothelium	Heart-Cardio	Oligodend	Neuron	Liver-Hep	Pancreas-Duct	Pancreas-Acinar	Pancreas-Delta	Pancreas-Beta	Pancreas-Alpha	Kidney-Ep	Thyroid-Ep	Fallopian-Ep	Ovary+Endom-Ep	Eryth-prog	Blood-T	Blood-NK	Blood-Mono+Macro	Blood-Granul	Blood-B	Head-Neck-Ep	Lung-Ep-Bron	Prostate-Ep	Bladder-Ep	Breast-Luminal-Ep	Breast-Basal-Ep	Lung-Ep-Alveo	Gastric-Ep	Colon-Ep	Small-Int-Ep
chr1	10441601	10442072	chr1	10441601	10442071	0.92	0.94	0.94	0.89	0.77	0.97	0.96	0.92	0.95	0.95	0.96	0.96	0.11	0.96	0.95	0.72	0.95	0.95	0.95	0.82	0.95	0.93	0.95	0.95	0.92	0.94	0.95	0.94	0.95	0.96	0.95
chr1	10446856	10446955	chr1	10446856	10446954	0.96	0.99	0.99	0.98	0.99	1.0	0.99	0.97	0.99	1.0	0.98	0.98	0.98	0.99	0.98	0.83	0.99	0.99	0.99	0.99	1.0	0.11	0.54	0.86	0.68	0.71	0.94	0.77	0.94	0.96	0.96
chr1	10450841	10451653	chr1	10450841	10451652	0.94	0.96	0.97	0.97	0.97	0.97	0.96	0.96	0.98	0.98	0.97	0.97	0.95	0.97	0.97	0.76	0.95	0.95	0.84	0.26	0.96	0.96	0.96	0.97	0.97	0.98	0.97	0.93	0.96	0.96	0.96
chr1	10573883	10574070	chr1	10573883	10574069	0.96	0.95	0.95	0.97	0.94	0.92	0.67	0.93	0.44	0.08	0.72	0.84	0.95	0.9	0.93	0.84	0.96	0.94	0.96	0.94	0.96	0.96	0.96	0.96	0.94	0.89	0.97	0.95	0.92	0.96	0.96
chr1	10585742	10585973	chr1	10585742	10585972	0.99	0.99	0.99	0.97	0.99	0.99	0.98	0.99	0.98	0.98	0.99	0.99	0.98	1.0	0.99	0.85	0.89	0.17	0.99	1.0	0.99	0.99	0.98	0.99	0.99	1.0	0.99	0.99	0.98	0.98	1.0
chr1	10681155	10681324	chr1	10681155	10681323	0.94	0.94	0.96	0.9	0.92	0.96	0.95	0.73	0.92	0.96	0.94	0.96	0.12	0.97	0.96	0.78	0.95	0.95	0.97	0.97	0.95	0.75	0.8	0.9	0.86	0.97	0.93	0.9	0.94	0.96	0.94
chr1	10702184	10702373	chr1	10702184	10702372	0.78	0.82	0.79	0.96	0.89	0.95	0.96	0.95	0.87	0.97	0.94	0.89	0.98	0.73	0.87	0.77	0.97	0.98	0.96	0.96	0.98	0.92	0.28	0.69	0.95	0.88	0.88	0.89	0.91	0.97	0.93
chr1	10702505	10702797	chr1	10702505	10702796	0.93	0.92	0.92	0.96	0.88	0.99	0.99	0.99	0.98	0.98	0.99	0.92	0.99	0.77	0.97	0.8	0.98	0.98	0.98	0.97	0.99	0.96	0.26	0.73	0.99	0.94	0.85	0.95	0.94	0.97	0.94
chr1	10706306	10706383	chr1	10706306	10706382	0.89	0.97	0.98	0.98	0.98	0.97	0.98	0.98	0.99	0.98	0.98	0.99	0.99	0.97	0.97	0.75	0.97	0.96	0.36	0.4	0.98	0.98	0.97	0.99	0.98	1.0	0.99	0.99	0.98	0.99	1.0
chr1	10766628	10766836	chr1	10766628	10766835	0.95	0.98	0.15	0.99	0.99	0.99	0.99	0.97	1.0	0.99	0.99	0.96	0.99	1.0	0.99	0.74	0.97	0.98	0.98	0.99	0.98	0.99	0.98	0.99	0.98	0.99	1.0	0.99	0.99	0.99	0.98
chr1	10879173	10879619	chr1	10879173	10879618	0.9	0.9	0.92	0.93	0.89	0.93	0.94	0.94	0.95	0.94	0.93	0.94	0.94	0.91	0.92	0.73	0.9	0.91	0.92	0.93	0.91	0.75	0.78	0.77	0.87	0.92	0.91	0.89	0.9	0.58	0.26
chr1	11017502	11017566	chr1	11017502	11017565	0.98	0.99	0.98	0.99	0.88	0.99	0.99	0.99	0.68	0.08	0.97	0.99	1.0	0.99	0.98	0.8	0.99	1.0	0.99	0.99	0.99	0.99	0.98	0.99	0.98	1.0	0.98	0.99	0.99	0.99	1.0
chr1	11029304	11029622	chr1	11029304	11029621	0.82	0.91	0.92	0.87	0.95	0.95	0.95	0.92	0.91	0.96	0.96	0.95	0.95	0.97	0.88	0.64	0.88	0.88	0.38	0.95	0.69	0.94	0.94	0.96	0.94	0.95	0.97	0.94	0.95	0.94	0.95
chr1	11106575	11106783	chr1	11106575	11106782	0.99	0.99	0.98	0.99	0.99	0.16	0.99	0.99	0.99	0.99	0.99	0.98	0.99	0.99	0.99	0.84	0.99	1.0	0.98	1.0	1.0	0.99	0.99	1.0	1.0	1.0	1.0	1.0	0.99	0.99	0.97
chr1	11106941	11107307	chr1	11106941	11107306	0.98	0.98	0.98	0.99	0.99	0.19	0.98	0.98	0.99	0.97	0.99	0.97	0.99	0.98	0.98	0.83	0.96	0.96	0.98	0.99	0.96	0.98	0.98	0.99	0.99	0.98	0.99	0.94	0.94	0.98	0.97
chr1	11142229	11142650	chr1	11142229	11142649	0.92	0.92	0.93	0.95	0.84	0.9	0.88	0.89	0.7	0.59	0.32	0.9	0.94	0.91	0.89	0.88	0.93	0.94	0.94	0.94	0.93	0.91	0.92	0.94	0.94	0.93	0.92	0.91	0.92	0.92	0.93
chr1	11266086	11266618	chr1	11266086	11266617	0.9	0.9	0.91	0.93	0.93	0.93	0.79	0.85	0.42	0.49	0.77	0.9	0.93	0.91	0.9	0.85	0.93	0.93	0.94	0.94	0.92	0.91	0.91	0.86	0.88	0.93	0.92	0.92	0.87	0.9	0.91
chr1	11303086	11303700	chr1	11303086	11303699	0.95	0.95	0.96	0.97	0.96	0.96	0.96	0.92	0.95	0.59	0.94	0.92	0.97	0.98	0.96	0.88	0.97	0.97	0.97	0.97	0.97	0.95	0.96	0.97	0.95	0.91	0.93	0.97	0.96	0.96	0.96
chr1	11543074	11543165	chr1	11543074	11543164	0.93	0.9	0.97	0.31	0.2	0.89	0.93	0.8	0.98	0.94	0.98	0.95	0.96	0.98	0.99	0.77	0.98	0.98	0.97	0.97	0.97	0.89	0.96	0.94	0.97	0.81	0.99	0.93	0.94	0.98	0.97
